,xl,Rejection Type 1,Rejection Type 2,Approval Type 1,Approval Type 2
0,10.0,10,89,73,284
1,20.0,12,107,71,276
2,30.000000000000004,21,92,93,245
3,40.0,22,95,74,274
4,50.0,22,85,102,253
5,60.0,40,98,80,237
6,70.0,19,106,52,277
7,80.0,46,91,70,245
8,90.0,41,116,35,250
