,xl,Rejection Type 1,Rejection Type 2,Approval Type 1,Approval Type 2
0,10.0,22,210,82,176
1,20.0,26,198,78,190
2,30.000000000000004,32,196,71,194
3,40.0,48,195,59,188
4,50.0,52,190,59,192
5,60.0,70,189,40,190
6,70.0,78,199,24,184
7,80.0,84,187,30,195
8,90.0,81,199,22,188
