,xl,Rejection Type 1,Rejection Type 2,Approval Type 1,Approval Type 2
0,10.0,6,102,74,211
1,20.0,15,126,80,188
2,30.000000000000004,17,107,86,193
3,40.0,16,119,71,204
4,50.0,19,110,52,199
5,60.0,31,96,65,217
6,70.0,29,114,46,222
7,80.0,25,133,37,189
8,90.0,42,132,32,193
