,xl,Rejection Type 1,Rejection Type 2,Approval Type 1,Approval Type 2
0,10.0,18,193,92,179
1,20.0,32,186,70,197
2,30.000000000000004,37,200,71,177
3,40.0,45,194,59,190
4,50.0,55,222,52,155
5,60.0,67,196,31,190
6,70.0,60,196,43,181
7,80.0,81,219,19,161
8,90.0,78,197,18,185
