,xl,Rejection Type 1,Rejection Type 2,Approval Type 1,Approval Type 2
0,10.0,19,204,85,182
1,20.0,26,211,78,181
2,30.000000000000004,37,206,68,184
3,40.0,49,209,58,180
4,50.0,53,198,54,185
5,60.0,63,208,37,182
6,70.0,80,199,27,189
7,80.0,77,193,30,188
8,90.0,91,205,15,170
