,xl,Rejection Type 1,Rejection Type 2,Approval Type 1,Approval Type 2
0,10.0,6,115,84,270
1,20.0,14,116,75,253
2,30.000000000000004,19,81,83,279
3,40.0,17,110,77,261
4,50.0,29,89,55,283
5,60.0,32,108,75,246
6,70.0,27,120,82,230
7,80.0,40,107,48,255
8,90.0,47,110,50,242
