,xl,Rejection Type 1,Rejection Type 2,Approval Type 1,Approval Type 2
0,10.0,7,41,85,112
1,20.0,14,54,82,113
2,30.000000000000004,26,37,82,112
3,40.0,13,48,84,108
4,50.0,24,48,84,114
5,60.0,28,44,85,110
6,70.0,32,52,81,112
7,80.0,32,51,82,111
8,90.0,46,27,85,110
