,Number of Occurrences,xl,Event,Method
0,30,10.0,good_A,Supervisory+RL
1,40,10.0,good_A,Supervisory
2,31,20.0,good_A,Supervisory+RL
3,35,20.0,good_A,Supervisory
4,24,30.000000000000004,good_A,Supervisory+RL
5,27,30.000000000000004,good_A,Supervisory
6,25,40.0,good_A,Supervisory+RL
7,37,40.0,good_A,Supervisory
8,20,50.0,good_A,Supervisory+RL
9,31,50.0,good_A,Supervisory
10,24,60.0,good_A,Supervisory+RL
11,23,60.0,good_A,Supervisory
12,11,70.0,good_A,Supervisory+RL
13,25,70.0,good_A,Supervisory
14,17,80.0,good_A,Supervisory+RL
15,16,80.0,good_A,Supervisory
16,23,90.0,good_A,Supervisory+RL
17,12,90.0,good_A,Supervisory
18,306,10.0,good_B,Supervisory+RL
19,215,10.0,good_B,Supervisory
20,282,20.0,good_B,Supervisory+RL
21,202,20.0,good_B,Supervisory
22,296,30.000000000000004,good_B,Supervisory+RL
23,216,30.000000000000004,good_B,Supervisory
24,314,40.0,good_B,Supervisory+RL
25,210,40.0,good_B,Supervisory
26,319,50.0,good_B,Supervisory+RL
27,199,50.0,good_B,Supervisory
28,289,60.0,good_B,Supervisory+RL
29,210,60.0,good_B,Supervisory
30,317,70.0,good_B,Supervisory+RL
31,198,70.0,good_B,Supervisory
32,322,80.0,good_B,Supervisory+RL
33,208,80.0,good_B,Supervisory
34,285,90.0,good_B,Supervisory+RL
35,220,90.0,good_B,Supervisory
36,30,10.0,good_A,Supervisory+RL
37,40,10.0,good_A,Supervisory
38,31,20.0,good_A,Supervisory+RL
39,35,20.0,good_A,Supervisory
40,24,30.000000000000004,good_A,Supervisory+RL
41,27,30.000000000000004,good_A,Supervisory
42,25,40.0,good_A,Supervisory+RL
43,37,40.0,good_A,Supervisory
44,20,50.0,good_A,Supervisory+RL
45,31,50.0,good_A,Supervisory
46,24,60.0,good_A,Supervisory+RL
47,23,60.0,good_A,Supervisory
48,11,70.0,good_A,Supervisory+RL
49,25,70.0,good_A,Supervisory
50,17,80.0,good_A,Supervisory+RL
51,16,80.0,good_A,Supervisory
52,23,90.0,good_A,Supervisory+RL
53,12,90.0,good_A,Supervisory
54,306,10.0,good_B,Supervisory+RL
55,215,10.0,good_B,Supervisory
56,282,20.0,good_B,Supervisory+RL
57,202,20.0,good_B,Supervisory
58,296,30.000000000000004,good_B,Supervisory+RL
59,216,30.000000000000004,good_B,Supervisory
60,314,40.0,good_B,Supervisory+RL
61,210,40.0,good_B,Supervisory
62,319,50.0,good_B,Supervisory+RL
63,199,50.0,good_B,Supervisory
64,289,60.0,good_B,Supervisory+RL
65,210,60.0,good_B,Supervisory
66,317,70.0,good_B,Supervisory+RL
67,198,70.0,good_B,Supervisory
68,322,80.0,good_B,Supervisory+RL
69,208,80.0,good_B,Supervisory
70,285,90.0,good_B,Supervisory+RL
71,220,90.0,good_B,Supervisory
