,xl,Rejection Type 1,Rejection Type 2,Approval Type 1,Approval Type 2
0,30.0,18,39,71,354
1,30.0,10,45,49,382
2,30.0,13,39,49,383
3,30.0,18,29,74,362
4,30.0,9,45,51,373
5,30.0,14,27,51,380
6,30.0,10,39,50,379
7,30.0,7,43,50,379
8,30.0,9,40,65,371
