,xl,Rejection Type 1,Rejection Type 2,Approval Type 1,Approval Type 2
0,10.0,20,202,84,176
1,20.0,24,205,72,183
2,30.000000000000004,39,194,71,178
3,40.0,45,207,58,176
4,50.0,52,189,42,191
5,60.0,66,199,43,178
6,70.0,71,178,31,204
7,80.0,81,189,22,186
8,90.0,79,221,15,167
