,xl,Rejection Type 1,Rejection Type 2,Approval Type 1,Approval Type 2
0,10.0,6,101,69,219
1,20.0,13,108,66,217
2,30.000000000000004,25,107,94,186
3,40.0,15,128,81,193
4,50.0,24,130,60,210
5,60.0,31,94,73,198
6,70.0,31,121,42,215
7,80.0,56,101,60,173
8,90.0,43,117,21,208
