,xl,Rejection Type 1,Rejection Type 2,Approval Type 1,Approval Type 2
0,10.0,3,34,48,79
1,20.0,6,33,60,88
2,30.000000000000004,7,38,49,86
3,40.0,3,27,52,79
4,50.0,7,28,47,79
5,60.0,5,32,62,88
6,70.0,10,39,46,77
7,80.0,9,22,52,78
8,90.0,13,29,62,88
